"Name","Start Year","End Year","Era Label","is_circa","is_active","Score"
"Baroque architecture","1625","1675.0","1625–1675","False","False","14"
"Chanson pour boire","1627","1670.0","1627–1670","False","False","9"
"Baroque sculpture","1647","1652.0","1647–1652","False","False","50"
"Beaux-Arts de Paris","1648","","c. 1648","True","False","0"
"Adoration of the Magi (Biscaino)","1650","","1650s","False","False","0"
"Collar of the Order of Saint Michael","1650","1660.0","1650–1660","False","False","0"
"A Waterfall in a Rocky Landscape","1660","","1660s","False","False","0"
"Air à boire","1690","","1690s","False","False","9"
"18th-century Western domes","1700","1800.0","18th century","False","False","3"
"Bail handle","1700","1800.0","18th century","False","False","3"
"Banko ware","1700","1800.0","18th century","False","False","0"
"Balaramapuram handlooms","1700","1800.0","18th century","False","False","3"
"Dakkhinasakha","1700","1800.0","18th century","False","False","10"
"Collegium Musicum","1700","1800.0","18th century","False","False","0"
"Arne Anka","1700","1800.0","18th century","False","False","0"
"Chinese House (Potsdam)","1700","1800.0","18th century","False","False","0"
"Belarusian icon-painting school of the 16th–18th centuries","1700","1800.0","18th century","False","False","3"
"Capriccio of the City of London","1700","1800.0","18th century","False","False","0"
"Cabriole leg","1700","1800.0","18th century","False","False","0"
"Cameo (carving)","1700","1800.0","18th century","False","False","0"
"Branicki Palace, Białystok","1700","1800.0","18th century","False","False","0"
"Baroque in Poland","1700","1800.0","18th century","False","False","53"
"Breitkopf Fraktur","1719","1794.0","1719–1794","False","False","0"
"Chorale cantata (Bach)","1724","25.0","1724–25","False","False","3"
"Chorale cantata cycle","1724","25.0","1724–25","False","False","6"
"Clavier-Übung","1726","1730.0","1726–1730","False","False","0"
"Bishop Asbury Cottage","1745","1816.0","1745–1816","False","False","6"
"Brandenburg Gate (Potsdam)","1770","71.0","1770–71","False","False","0"
"Corradino Batteries","1798","1800.0","1798–1800","False","False","3"
"Capuchin Convent Battery","1798","1800.0","1798–1800","False","False","0"
"Baroque Revival architecture","1800","1900.0","19th century","False","False","42"
"Barn raising","1800","1900.0","19th century","False","False","6"
"Batignolles group","1800","1900.0","19th century","False","False","0"
"Celtic cross","1800","1900.0","19th century","False","False","0"
"Costumbrismo","1800","1900.0","19th century","False","False","9"
"Cottage","1800","1900.0","19th century","False","False","0"
"Beaux-Arts architecture","1800","1900.0","19th century","False","False","12"
"Bernward Column","1800","1900.0","19th century","False","False","0"
"Art for art's sake","1800","1900.0","19th century","False","False","6"
"Art movement","1800","1900.0","19th century","False","False","19"
"Architectural terracotta","1800","1900.0","19th century","False","False","0"
"Art Students League of New York","1800","1900.0","19th century","False","False","3"
"Art of the Low Countries","1800","1900.0","19th century","False","False","0"
"Billet reading","1800","1900.0","19th century","False","False","0"
"African wax prints","1800","1900.0","19th century","False","False","0"
"Akuaba","1800","","1800s","False","False","3"
"Bunka shishu","1800","1900.0","19th century","False","False","0"
"Bundwerk","1800","1900.0","19th century","False","False","0"
"Chinese Tea House (Frederiksberg)","1800","1.0","1800–01","False","False","0"
"Cabanes du Breuil","1800","1900.0","19th century","False","False","0"
"Aestheticism","1800","1900.0","19th century","False","False","16"
"Abstract art","1800","1900.0","19th century","False","False","6"
"American Craftsman","1800","1900.0","19th century","False","False","18"
"American colonial architecture","1800","1900.0","19th century","False","False","9"
"Amsterdam Impressionism","1800","1900.0","19th century","False","False","63"
"American realism","1800","1900.0","19th century","False","False","9"
"American Foursquare","1800","1900.0","19th century","False","False","6"
"Angstloch","1800","1900.0","19th century","False","False","0"
"Bridge tower","1800","1900.0","19th century","False","False","0"
"Angels in art","1800","1900.0","19th century","False","False","0"
"Ancient Priors","1800","1900.0","19th century","False","False","0"
"Brazilian academic art","1800","1900.0","19th century","False","False","0"
"19th-century domes","1800","1900.0","19th century","False","False","0"
"Deerpark Cottage","1800","1900.0","19th century","False","False","0"
"Decadence","1800","1900.0","19th century","False","False","3"
"Claude-Marie Ferrier","1811","1889.0","1811–1889","False","False","0"
"Albert Southworth","1811","1894.0","1811–1894","False","False","0"
"Art Nouveau","1814","1879.0","1814–1879","False","False","6"
"André-Adolphe-Eugène Disdéri","1819","4.0","1819–4","False","False","0"
"Cesar von Düben","1819","18.0","1819–18","False","False","0"
"Clementina Maude, Viscountess Hawarden","1822","19.0","1822–19","False","False","0"
"Church frescos in Denmark","1825","1913.0","1825–1913","False","False","0"
"Caroline Becker","1826","1881.0","1826–1881","False","False","0"
"Antebellum architecture","1830","","1830s","False","False","9"
"Armand Sabatier","1834","22.0","1834–22","False","False","3"
"Chickee","1835","1842.0","1835–1842","False","False","6"
"Daniel Press","1836","1919.0","1836–1919","False","False","3"
"Crown of Bahadur Shah Zafar","1837","1857.0","1837–1857","False","False","3"
"Congregation Mishkan Israel","1840","","c. 1840","True","False","6"
"Alfred Hugh Harman","1841","23.0","1841–23","False","False","0"
"Cunningham-Coleman House","1844","1923.0","1844–1923","False","False","3"
"Cady Hall","1846","1927.0","1846–1927","False","False","3"
"Albert Lévy (photographer)","1847","1931.0","1847–1931","False","False","0"
"Ali Qapu","1848","96.0","1848–96","False","False","0"
"Alphonse Louis Poitevin","1850","","1850s","False","False","0"
"Alfred Ellis (photographer)","1854","13.0","1854–13","False","False","0"
"Charles Shepherd (photographer)","1858","1878.0","1858–1878","False","False","0"
"Albert Londe","1858","11.0","1858–11","False","False","0"
"Adelphoi Zangaki","1860","","1860s","False","False","3"
"Birch-bark roof","1860","","1860s","False","False","0"
"Civil rights movement","1861","1865.0","1861–1865","False","False","27"
"Colony houses","1861","","c. 1861","True","False","3"
"Auguste Lumière","1862","10.0","1862–10","False","False","0"
"Burton Brothers","1866","1914.0","1866–1914","False","False","0"
"Carbon tissue","1866","","c. 1866","True","False","6"
"Arthur Clarence Pillsbury","1870","1946.0","1870–1946","False","False","0"
"Colonial Office Visual Instruction Committee","1871","1947.0","1871–1947","False","False","6"
"Bengal School of Art","1871","1951.0","1871–1951","False","False","16"
"Debashish Banerji","1872","1950.0","1872–1950","False","False","6"
"Arnold Schoenberg","1874","13.0","1874–13","False","False","0"
"Affonso Eduardo Reidy","1875","1959.0","1875–1959","False","False","0"
"Cartier Hafiz","1875","1942.0","1875–1942","False","False","0"
"Bayard Wootten","1875","1959.0","1875–1959","False","False","0"
"Arts and Crafts movement","1880","","1880s","False","False","12"
"Bishop West Barn","1880","","1880s","False","False","0"
"Colonial Revival architecture","1880","1910.0","1880–1910","False","False","21"
"Box Hill artists' camp","1880","","1880s","False","False","10"
"Bernard Leach","1887","6.0","1887–6","False","False","3"
"Art Nouveau furniture","1890","","1890s","False","False","6"
"Butter sculpture","1890","1930.0","1890–1930","False","False","0"
"City Beautiful movement","1890","","1890s","False","False","3"
"Amberina","1890","","1890s","False","False","0"
"Decorative Designers","1895","1931.0","1895–1931","False","False","6"
"Art biennials in Africa","1895","","c. 1895","True","False","6"
"Barchowsky Fluent Handwriting","1900","2000.0","20th century","False","False","0"
"Baptistery of Bekalta","1900","2000.0","20th century","False","False","0"
"Dansaekhwa","1900","2000.0","20th century","False","False","3"
"Bauhaus and its Sites in Weimar, Dessau and Bernau","1900","2000.0","20th century","False","False","35"
"Cham dance","1900","2000.0","20th century","False","False","0"
"David A. Hanson Collection of the History of Photomechanical Reproduction","1900","2000.0","20th century","False","False","3"
"Celtic cross stitch","1900","2000.0","20th century","False","False","10"
"Ballet and fashion","1900","2000.0","20th century","False","False","9"
"Contemporary art","1900","2000.0","20th century","False","False","3"
"Arts of Iran","1900","2000.0","20th century","False","False","0"
"Art Nouveau in Milan","1900","2000.0","20th century","False","False","10"
"Armory Show","1900","2000.0","20th century","False","False","3"
"African art in Western collections","1900","2000.0","20th century","False","False","3"
"Choux de Créteil","1900","2000.0","20th century","False","False","0"
"Colourist painting","1900","2000.0","20th century","False","False","13"
"Circle-A","1900","2000.0","20th century","False","False","0"
"Bombay Progressive Artists' Group","1900","2000.0","20th century","False","False","3"
"Bombay furniture","1900","","1900s","False","False","3"
"Amate","1900","2000.0","20th century","False","False","0"
"All caps","1900","2000.0","20th century","False","False","0"
"Aniconism in Judaism","1900","2000.0","20th century","False","False","0"
"Antiqua–Fraktur dispute","1900","2000.0","20th century","False","False","0"
"Counterculture of the 1960s","1900","2000.0","20th century","False","False","0"
"Colon statue","1900","50.0","1900–50","False","False","3"
"American modernism","1900","2000.0","20th century","False","False","18"
"Ammonia fuming","1900","2000.0","20th century","False","False","6"
"Bruce Crane","1900","","1900s","False","False","0"
"Amsterdamse Joffers","1900","2000.0","20th century","False","False","0"
"Airplane Bungalow","1900","2000.0","20th century","False","False","6"
"African sculpture","1900","2000.0","20th century","False","False","0"
"California Impressionism","1900","2000.0","20th century","False","False","51"
"Cal Shaw Adobe Duplex","1900","","1900s","False","False","0"
"Canting arms","1900","2000.0","20th century","False","False","0"
"Burnham Baroque","1900","2000.0","20th century","False","False","41"
"Canons of page construction","1900","2000.0","20th century","False","False","0"
"Camel case","1900","2000.0","20th century","False","False","0"
"Bach Gesellschaft","1900","","c. 1900","True","False","0"
"Celtic Revival","1900","2000.0","20th century","False","False","9"
"Contemporary Turkish miniature","1900","2000.0","20th century","False","False","0"
"Casa del Puente","1900","2000.0","20th century","False","False","0"
"Chhayavad","1900","2000.0","20th century","False","False","9"
"BEP Akitek Sdn Bhd","1900","2000.0","20th century","False","False","0"
"Art of Champa","1900","2000.0","20th century","False","False","3"
"Art manifesto","1900","2000.0","20th century","False","False","6"
"Caravaggisti","1900","2000.0","20th century","False","False","6"
"20th-century domes","1900","2000.0","20th century","False","False","0"
"Daguerreotype","1900","2000.0","20th century","False","False","0"
"Abstract expressionism","1900","2000.0","20th century","False","False","16"
"Cubism","1900","2000.0","20th century","False","False","69"
"Cuala Press","1900","2000.0","20th century","False","False","9"
"African art","1900","2000.0","20th century","False","False","0"
